,non_given_dims,beta,rgb_supervise,rgb_weak_supervise_prop,rgb_temp_beta,rgb_lambda,adversarial_supervise,adversarial_lambda,adversarial_target_language,encoder_class,color_metric_mean,color_metric_std,deltae,issm,psnr,rmse,sam,sre,ssim1,issm1,psnr1,rmse1,sam1,sre1
196,5,1.0,1,0.4,0.98,1,0,30,1,1,90.97591095013708,6.95951630398181,99.8072729383651,0.0,50.3473224,0.00344564195,89.917593,56.1444536,0.990168859,0.0,52.3208014,0.00291266481,89.8030598,55.653723
202,5,1.0,1,0.4,0.98,5,0,20,1,1,90.83121702564424,7.180786111421284,99.75670307733984,0.0,50.4034096,0.00345103222,89.9344042,56.0873594,0.989995183,0.0,52.2679431,0.00294071231,89.8194239,55.6289222
219,5,1.0,1,0.4,0.98,5,0,30,1,1,90.59170268297056,6.678200290953763,99.83255259529246,0.0,50.5846249,0.00340680705,89.9190695,56.1868546,0.989974318,0.0,52.4192874,0.00292419548,89.8221249,55.6896052
180,5,1.0,1,0.4,0.98,10,0,20,1,1,90.03733656265942,6.915434212853796,99.76377559776036,0.0,50.3328899,0.00345644446,89.919878,56.0190564,0.990053586,0.0,52.2220861,0.0029433182,89.7645017,55.5911431
307,5,1.0,1,0.4,0.98,10,0,30,1,1,90.50146597108905,6.159151709169516,99.80462480724388,0.0,50.1695398,0.00348353869,89.9233974,55.915027,0.990071515,0.0,51.9709116,0.00298592851,89.7970257,55.4504245
237,5,1.0,1,0.4,0.98,20,0,20,1,1,90.64842246933205,6.697925811046609,99.8086888942021,0.0,50.5410378,0.00339419531,89.936516,56.1097908,0.990365494,0.0,52.4940769,0.0028809783,89.8444193,55.7373859
176,5,1.0,1,0.4,0.98,20,0,30,1,1,90.24543441483858,6.36183571313457,99.8305952615042,0.0,50.3039853,0.00348901678,89.9139049,56.1628403,0.989655619,0.0,52.2625178,0.00297944968,89.7756987,55.6102361
324,5,1.0,1,0.4,0.99,1,0,20,1,1,90.32515212112176,6.328890936933719,99.84123739916939,0.0,50.3086103,0.00345948091,89.9179815,56.014764,0.989920869,0.0,52.0866844,0.00296477426,89.8184259,55.5232046
277,5,1.0,1,0.4,0.99,1,0,30,1,1,89.3609622837764,6.859716130039809,99.78394635189049,0.0,50.0427919,0.00356502537,89.9089477,55.9189819,0.989302768,0.0,51.7815393,0.00307393086,89.7910539,55.3707368
246,5,1.0,1,0.4,0.99,5,0,20,1,1,90.91182267919648,7.100688058698595,99.79470476518296,0.0,49.9885848,0.00356352083,89.9279354,55.9538582,0.98947622,0.0,51.9749465,0.00302884712,89.76797,55.4557745
280,5,1.0,1,0.4,0.99,5,0,30,1,1,91.06496388879992,6.640208039438146,99.83216989696844,0.0,50.2869249,0.00349502727,89.9341474,56.0677347,0.989847718,0.0,52.1729022,0.0029755582,89.830437,55.5573991
300,5,1.0,1,0.4,0.99,10,0,20,1,1,90.05561050296517,7.773890752467632,99.82988542248012,0.0,50.4765375,0.00342558758,89.9318583,56.1963889,0.990062135,0.0,52.3368478,0.00293229371,89.7938486,55.6533792
143,5,1.0,1,0.4,0.99,10,0,30,1,1,90.50455991836152,5.8787170415690495,99.81169141740892,0.0,49.9647928,0.0035837419,89.9148191,55.8565824,0.989390951,0.0,51.8049414,0.00307555882,89.7973318,55.4046096
257,5,1.0,1,0.4,0.99,20,0,20,1,1,90.0570193154928,6.935015038373199,99.85627319774125,0.0,49.9519376,0.00360558382,89.9148133,56.0644524,0.98913253,0.0,51.8667523,0.00308056015,89.8181847,55.4334932
86,5,1.0,1,0.4,0.99,20,0,30,1,1,90.8224607183774,6.150508206977159,99.81116066609881,0.0,50.1781349,0.00351324356,89.9268871,56.0082062,0.989869663,0.0,52.0161745,0.00298932683,89.8266419,55.5056122
92,5,1.0,1,0.5,0.9,1,0,20,1,1,90.46539640705826,7.612181918754744,99.7863158555831,0.0,50.5483908,0.00338024955,89.9361368,56.2595601,0.990424301,0.0,52.4556095,0.00286843518,89.8269331,55.7251799
272,5,1.0,1,0.5,0.9,1,0,30,1,1,90.77953157694934,6.704252496104506,99.82281463637453,0.0,50.494163,0.00339235333,89.9081119,56.1473979,0.99009708,0.0,52.2796618,0.00292757176,89.7674788,55.6158004
269,5,1.0,1,0.5,0.9,5,0,20,1,1,90.21578308781112,6.16498551163911,99.82608130932933,0.0,50.4460611,0.00342175832,89.921547,56.0197041,0.990147846,0.0,52.4091063,0.00290603026,89.8078973,55.681965
320,5,1.0,1,0.5,0.9,5,0,30,1,1,90.44881510307164,7.188156916746229,99.78321346843984,0.0,50.1088981,0.00354351126,89.9151772,55.9653147,0.989405901,0.0,51.8272488,0.00307099492,89.7780448,55.3787767
